"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
1981,"Montana",149,84,0.56,0,0,0,0,805348,0
1981,"Nebraska",340,176,0.52,0,0,0,0,1604413,0
1981,"North Carolina",831,427,0.51,0,0,0,0,5956122,0
1981,"North Dakota",146,77,0.53,0,0,0,0,662940,0
1981,"New Hampshire",264,124,0.47,0,0,0,0,1052614,0
1981,"New Jersey",657,515,0.78,0,0,0,0,7404654,0
1981,"New Mexico",163,102,0.63,0,0,0,0,1328937,0
1981,"Nevada",80,31,0.39,0,0,1,0.03,850170,0
1981,"New York",1178,814,0.69,0,0,1,0.00,18809745,0
1981,"Ohio",935,455,0.49,0,0,0,0,11009899,0
1981,"Oklahoma",506,286,0.57,0,0,0,0,3125799,0
1981,"Oregon",305,249,0.82,0,0,1,0.00,2652767,0
1981,"Pennsylvania",1892,1164,0.62,0,0,1,0.00,12075312,0
1981,"Puerto Rico",25,1,0.04,0,0,0,0,3045000,0
1981,"Rhode Island",63,46,0.73,0,0,0,0,956539,0
1981,"South Carolina",576,213,0.37,0,0,0,0,3225026,0
1981,"South Dakota",194,73,0.38,0,0,0,0,694028,0
1981,"Tennessee",606,265,0.44,0,0,0,0,4624368,0
1981,"Texas",1295,747,0.58,0,0,0,0,14893468,0
1981,"Utah",203,121,0.60,0,0,0,0,1539164,0
1981,"US Virgin Islands",3,0,0,0,0,0,0,0,0
1981,"Virginia",485,411,0.85,0,0,0,0,5428769,0
1981,"Vermont",105,8,0.08,0,0,0,0,518784,0
1981,"Washington",329,173,0.53,0,0,0,0,4225712,0
1981,"Wisconsin",492,274,0.56,0,0,0,0,4769913,0
1981,"West Virginia",535,357,0.67,0,0,2,0.01,1954521,0
1981,"Wyoming",90,72,0.80,0,0,0,0,492000,0
1981,"Mariana Islands",1,0,0,0,0,0,0,0,0
1981,"Other",0,0,0,0,0,0,0,0,0
1982,"Alaska",55,24,0.44,0,0,0,0,480391,0
1982,"Alabama",490,287,0.59,0,0,0,0,4007808,0
1982,"Arkansas",352,200,0.57,0,0,1,0.01,2309406,0
1982,"American Samoa",1,0,0,0,0,0,0,0,0
1982,"Arizona",173,93,0.54,0,0,0,0,2872286,0
1982,"California",939,652,0.69,0,0,1,0.00,24902595,0
1982,"Colorado",323,211,0.65,0,0,0,0,3063569,0
1982,"Connecticut",129,98,0.76,0,0,0,0,3230948,0
1982,"Canal Zone",0,0,0,0,0,0,0,44650,0
1982,"District of Columbia",3,1,0.33,0,0,0,0,631000,0
1982,"Delaware",84,50,0.60,0,0,4,0.08,603669,0
1982,"Florida",1223,680,0.56,0,0,2,0.00,10542211,0
1982,"Georgia",829,413,0.50,0,0,0,0,5670797,0
1982,"Guam",3,0,0,0,0,0,0,86926,0
