year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse,total_population,nibrs_population,pct_population_covered,incidents_normalized,CM_normalized,IPV_normalized
2008,KY,60,0,5,0,4,0,36,0,15,5974560,2060089,0.34481016175249724,2.9124955281058244e-05,4.368743292158737e-06,2.475621198889951e-05
2009,KY,871,0,198,0,201,15,304,0,153,5082242,3858245,0.7591619997630967,0.0002257503087543689,0.000103414894595859,0.0001223354141585099
2010,KY,848,0,197,0,182,14,282,0,173,4748332,4227221,0.8902538828371731,0.00020060460524775023,8.96570110718129e-05,0.00011094759417593734
2011,KY,974,0,179,0,234,12,356,0,193,4421541,4294255,0.9712122990604407,0.00022681466284605827,9.617500590905757e-05,0.00013063965693700072
2012,KY,1061,0,254,0,174,13,414,0,206,4454279,4319331,0.9697037388093561,0.00024563989191844754,9.908941917162635e-05,0.00014655047274682122
2013,KY,1070,0,266,0,173,32,421,0,178,4432530,4353991,0.9822812253949775,0.00024575154151673716,0.00010082703432322207,0.0001449245071935151
2014,KY,1249,0,271,0,186,27,608,0,157,4491063,4387495,0.9769390899214729,0.00028467268908568557,0.00010415966286001466,0.00018051302622567092
2015,KY,1916,0,385,0,205,32,1097,0,197,4505815,4424795,0.9820187912730549,0.0004330144108371122,0.00013333951064399592,0.0002996749001931163
2016,KY,1964,0,374,0,186,24,1147,0,233,4480598,4436974,0.9902637996088914,0.0004426440181979881,0.0001262121436817074,0.0003164318745162807
2017,KY,1961,0,323,0,277,23,1110,0,228,4494059,4454535,0.991205277901336,0.0004402255229782682,0.00013469419367004637,0.00030553132930822186
2018,KY,1957,0,471,0,191,18,1037,0,240,4523434,4459343,0.9858313396415201,0.00043885388497812345,0.00014845236170440355,0.0002904015232737199
2019,KY,2146,0,375,0,162,27,1319,0,263,4515484,4460802,0.9878901132193139,0.00048107941128075173,0.00012038194028786752,0.0003606974709928842
2020,KY,2555,0,417,0,126,28,1745,0,239,5279777,4472499,0.8470999816848325,0.000571268993017103,0.00012140863530657022,0.00044986035771053275
2000,MA,3969,0,487,0,43,6,3341,0,92,6781415,3131851,0.46182854168340975,0.0012673016692045693,0.0001692289958877354,0.001098072673316834
2001,MA,3031,0,293,0,55,16,2540,0,127,6638271,3389451,0.5105924419174812,0.0008942451152118736,0.0001026714945871765,0.000791573620624697
2002,MA,2890,0,323,0,55,38,2345,0,129,6891397,3794988,0.5506848611391856,0.0007615307347480413,9.960505803970922e-05,0.0006619256767083321
2003,MA,2563,0,278,0,71,33,2061,0,120,6694614,4047450,0.6045830274904572,0.000633238211713548,8.622713066251591e-05,0.0005470110810510321
2004,MA,3370,0,322,0,102,65,2710,0,171,6841621,4650990,0.6798081916551648,0.0007245769180325049,9.116338671981665e-05,0.0006334135313126883
2005,MA,3688,0,378,0,92,87,2981,0,150,6618031,4822494,0.7286901496834934,0.0007647495258677356,9.745994499941317e-05,0.0006672895808683225
2006,MA,3685,0,333,0,115,83,2996,0,158,6563640,4860267,0.7404834817266029,0.0007581887990927247,9.217600596839638e-05,0.0006660127931243284
2007,MA,4074,0,459,0,109,88,3250,0,168,6792720,5370447,0.7906180440236017,0.0007585960721705288,0.00010576400809839478,0.000652832064072134
2008,MA,4431,0,510,0,188,115,3437,0,181,6621643,5448980,0.8229045268674255,0.0008131797143685608,0.00012809736868184504,0.0006850823456867156
2009,MA,4585,0,515,0,165,86,3613,0,206,6703667,5614606,0.8375424972630652,0.0008166200798417556,0.00012111268359703246,0.0006955073962447232
2010,MA,4901,0,579,0,146,91,3878,0,207,6666219,5585786,0.8379241666077877,0.000877405614894663,0.0001297937300140034,0.0007476118848806595
2011,MA,4405,0,523,0,161,101,3411,0,209,6679812,5601274,0.8385376714194951,0.000786428230434719,0.00012211507596307554,0.0006643131544716434
2012,MA,4071,0,454,0,145,96,3196,0,180,6774799,5738623,0.8470543554133488,0.0007094036321953891,0.00010438044109187867,0.0006050231911035104
2013,MA,4225,0,485,0,160,78,3313,0,189,6763362,5824885,0.8612410514179191,0.0007253362083543281,0.00011073179985527611,0.0006146044084990519
2014,MA,4532,0,554,0,135,81,3582,0,180,6882177,5859977,0.8514714166752758,0.000773381875048315,0.00011757725328956069,0.0006558046217587544
2015,MA,4987,0,524,0,129,77,4056,0,201,6878270,5893830,0.8568768018702377,0.0008461390980058807,0.00011079383015797877,0.0007353452678479019
2016,MA,4717,0,540,0,139,74,3754,0,210,6841558,5911759,0.8640954297252176,0.0007979012676260991,0.00011485583224891271,0.0006830454353771864
2017,MA,4617,0,577,0,206,82,3556,0,196,6872032,5963301,0.8677638579098584,0.0007742356121215415,0.0001313031155059924,0.000642932496615549
2018,MA,4590,0,551,0,158,70,3523,0,288,6913325,6021072,0.870937211833669,0.000762322722598235,0.0001177531177172437,0.0006445696048809913
2019,MA,4627,0,549,0,190,72,3523,0,293,6915116,6011009,0.8692564231749692,0.0007697542958262082,0.0001229410902562282,0.00064681320556998
2020,MA,5012,0,570,0,160,58,3931,0,293,7024800,6815611,0.9702213586151919,0.0007353706072720407,0.00010710705173754782,0.0006282635555344928
2000,MI,5226,0,482,0,543,30,3527,0,644,10658627,8037390,0.7540736719654417,0.0006502110759836216,0.00012752896151611406,0.0005226821144675075
2001,MI,5679,0,464,0,592,50,3880,0,693,10854317,8301563,0.7648167084119618,0.0006840880446248495,0.0001272049612825922,0.0005568830833422573
2002,MI,5954,0,542,0,585,36,4112,0,679,11120386,8788708,0.7903240049401163,0.0006774602137196958,0.0001282327277228917,0.0005492274859968041
2003,MI,5022,0,558,0,617,48,3158,0,641,10745970,8622143,0.8023606058829497,0.0005824538052778758,0.00013627702532885387,0.00044617677994902193
2004,MI,5416,0,608,0,654,53,3384,0,717,10854430,9002773,0.8294100196878141,0.0006015924204686711,0.0001401790315050707,0.00046141338896360046
2005,MI,8058,0,894,0,670,51,5688,0,755,10680554,10017482,0.9379178271089683,0.000804393758830812,0.00015612705867602258,0.0006482667001547894
2006,MI,8145,0,935,0,685,47,5687,0,791,10551168,9997772,0.9475512094964273,0.0008146815110406598,0.00016203610164344616,0.0006526454093972137
2007,MI,7792,0,924,0,624,23,5482,0,739,10620046,9965028,0.9383224893752814,0.0007819345816188374,0.00015534326647150416,0.0006265913151473333
2008,MI,7311,0,874,0,674,16,5026,0,721,10552791,9910343,0.9391205606175655,0.0007377141235172184,0.00015620044634176636,0.000581513677175452
